PCN,ISSUED,LOCATION,CONTRAVENTION,FINE,Last Pay Date,Total Paid,Balance,
LS25613544,21/03/2022,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,21/03/2022,25,50,
LS25613555,21/03/2022,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,21/03/2022,25,50,
LS25613602,21/03/2022,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,21/03/2022,0,50,
LS25613613,21/03/2022,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,21/03/2022,0,50,
LS25613624,21/03/2022,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,21/03/2022,50,0,
LS25613635,21/03/2022,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,21/03/2022,0,50,
LS25613646,21/03/2022,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,21/03/2022,0,50,
LS25613657,21/03/2022,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,21/03/2022,0,50,
LS25613679,21/03/2022,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,21/03/2022,0,50,
LS17326886,21/03/2022,BURLEY ROAD CP - CITY,73 PARKED WITHOUT PAYMENT,50,21/03/2022,0,50,
LS17326900,21/03/2022,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,21/03/2022,25,0,
LS17326911,21/03/2022,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,21/03/2022,0,50,
LS17326933,21/03/2022,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,21/03/2022,0,0,
LS17326999,21/03/2022,BURLEY ROAD CP - CITY,73 PARKED WITHOUT PAYMENT,50,21/03/2022,25,0,
LS17327007,21/03/2022,BURLEY ROAD CP - CITY,73 PARKED WITHOUT PAYMENT,50,22/03/2022,25,0,
LS18333865,21/03/2022,HUNSLET LANE CP - CITY,73 PARKED WITHOUT PAYMENT,50,21/03/2022,0,0,
LS18449101,21/03/2022,HUNSLET LANE CP - CITY,73 PARKED WITHOUT PAYMENT,50,21/03/2022,0,50,
LS20603510,21/03/2022,INTERNATIONAL POOL CP - CITY,73 PARKED WITHOUT PAYMENT,50,21/03/2022,0,50,
LS20603521,21/03/2022,INTERNATIONAL POOL CP - CITY,73 PARKED WITHOUT PAYMENT,50,21/03/2022,25,0,
LS20603532,21/03/2022,INTERNATIONAL POOL CP - CITY,73 PARKED WITHOUT PAYMENT,50,21/03/2022,50,0,
LS20603543,21/03/2022,INTERNATIONAL POOL CP - CITY,73 PARKED WITHOUT PAYMENT,50,21/03/2022,50,0,
LS23510143,21/03/2022,INTERNATIONAL POOL CP - CITY,73 PARKED WITHOUT PAYMENT,50,21/03/2022,0,50,
LS24522873,21/03/2022,HOLT PARK CP - HOLT PARK                                    ,87 IN DISABLED BAY WITHOUT BADGE,70,21/03/2022,0,70,
LS2471539A,21/03/2022,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,21/03/2022,0,50,
LS24715403,21/03/2022,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,21/03/2022,25,0,
LS25613566,21/03/2022,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,21/03/2022,50,0,
LS25613577,21/03/2022,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,21/03/2022,50,0,
LS25613588,21/03/2022,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,21/03/2022,25,0,
LS25613599,21/03/2022,WOODHOUSE LANE  CP - CITY,73 PARKED WITHOUT PAYMENT,50,21/03/2022,0,50,
LS25613668,21/03/2022,WOODHOUSE LANE  CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,21/03/2022,25,0,
LS2561368A,21/03/2022,WOODHOUSE LANE  CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,21/03/2022,25,50,
